driver_id,first_name,last_name,email,phone,gender,city,license_number,signup_date,driver_status,avg_rating
1,Kelly,Santos,driver1@example.com,9011308523,Male,Delhi,IW156733,2025-06-27,Active,3.92
2,Christopher,Freeman,driver2@example.com,9156823428,Male,Hyderabad,FC157646,2024-10-25,Active,3.92
3,Christopher,Lewis,driver3@example.com,9402246267,Male,Delhi,IM506809,2023-09-26,Active,4.65
4,Renee,Preston,driver4@example.com,9132025342,Male,Pune,BU831934,2025-06-26,Active,3.68
5,Erin,Roberts,driver5@example.com,9386707760,Female,Hyderabad,DP027586,2023-09-03,Active,4.97
6,Angie,Porter,driver6@example.com,9429398766,Male,Delhi,XI456333,2025-04-12,Active,4.12
7,Katie,Stone,driver7@example.com,9740877210,Male,Mumbai,IR923495,2023-12-28,Active,4.42
8,Clayton,Reeves,driver8@example.com,9752400330,Male,Delhi,VU570515,2024-07-27,Inactive,4.58
9,Jennifer,Scott,driver9@example.com,9510972472,Male,Hyderabad,IA782638,2025-08-31,Active,4.03
10,Stephen,Evans,driver10@example.com,9542654168,Male,Delhi,YH324271,2025-03-10,Active,4.12
11,Jesse,Cruz,driver11@example.com,9939276398,Male,Delhi,DV862869,2024-05-13,Active,4.35
12,Peter,Padilla,driver12@example.com,9523818289,Male,Delhi,BN476237,2023-01-09,Active,3.96
13,Patrick,Solis,driver13@example.com,9363278680,Female,Hyderabad,WS854787,2023-08-27,Active,3.87
14,Brandon,Phillips,driver14@example.com,9704235731,Male,Delhi,HY268193,2023-08-13,Inactive,3.91
15,Sharon,Haney,driver15@example.com,9899593116,Female,Chennai,XY922941,2025-01-24,Active,4.78
16,Erin,Kelly,driver16@example.com,9992135347,Male,Pune,LW232806,2024-01-21,Active,4.46
17,John,Hernandez,driver17@example.com,9050707750,Other,Chennai,RV394185,2024-02-22,Active,3.98
18,Casey,Singh,driver18@example.com,9884949996,Male,Hyderabad,UI541892,2023-07-15,Active,4.65
19,Erin,Duncan,driver19@example.com,9357686621,Male,Mumbai,OW831400,2025-01-16,Inactive,4.0
20,Barry,Velazquez,driver20@example.com,9380595194,Male,Chennai,JB630328,2023-05-06,Active,3.52
21,Barbara,Richardson,driver21@example.com,9845422595,Male,Pune,TC735490,2024-02-26,Active,4.58
22,Tabitha,Smith,driver22@example.com,9513305915,Male,Bangalore,BY986571,2024-01-29,Active,4.96
23,Zachary,Jimenez,driver23@example.com,9419635110,Male,Pune,JX896213,2025-10-06,Active,4.52
24,William,Shepard,driver24@example.com,9967451363,Male,Chennai,AI508628,2024-06-27,Active,3.55
25,Michael,Reyes,driver25@example.com,9659050417,Male,Bangalore,YD564347,2024-12-21,Active,4.29
26,Erin,Wood,driver26@example.com,9372234267,Female,Hyderabad,KX882309,2023-10-14,Active,4.19
27,Tiffany,Ray,driver27@example.com,9870323812,Male,Pune,ZD872894,2025-03-18,Inactive,4.45
28,Arthur,Myers,driver28@example.com,9817189935,Male,Mumbai,PB363163,2024-05-06,Active,3.96
29,Nathan,Booth,driver29@example.com,9475211275,Male,Bangalore,KV846017,2024-04-19,Inactive,4.17
30,Kathryn,Harrison,driver30@example.com,9963731149,Male,Bangalore,SZ628033,2023-02-28,Active,3.73
31,James,Gilmore,driver31@example.com,9331088623,Male,Pune,SK490847,2025-04-10,Active,4.39
32,Christian,Flores,driver32@example.com,9065940038,Male,Chennai,RC116343,2023-10-12,Active,3.75
33,Daniel,Thomas,driver33@example.com,9180364851,Male,Bangalore,PX310166,2023-12-31,Active,4.47
34,Maureen,David,driver34@example.com,9002182414,Male,Hyderabad,XU662284,2025-01-16,Active,4.0
35,Glen,White,driver35@example.com,9081702846,Male,Pune,DN414085,2024-02-05,Active,3.04
36,Evan,Rodriguez,driver36@example.com,9168787321,Male,Hyderabad,WG622951,2023-07-03,Active,4.62
37,Justin,Stanley,driver37@example.com,9499970320,Male,Pune,CY084861,2025-10-20,Active,4.5
38,Antonio,Moore,driver38@example.com,9434743344,Male,Hyderabad,SA600260,2023-09-25,Active,4.84
39,Jean,Johnson,driver39@example.com,9210651004,Male,Chennai,QV901749,2023-02-01,Inactive,3.46
40,Gina,Anderson,driver40@example.com,9601041313,Female,Pune,TR389162,2023-04-18,Inactive,4.04
41,Jessica,Randolph,driver41@example.com,9555794207,Female,Mumbai,IS106678,2025-04-09,Active,4.35
42,Jasmine,Welch,driver42@example.com,9223956721,Male,Chennai,WD573216,2025-06-28,Active,4.53
43,Shelby,Reyes,driver43@example.com,9761898987,Male,Hyderabad,MW242389,2024-02-27,Active,3.71
44,Ryan,Singh,driver44@example.com,9877677513,Male,Pune,PA440711,2024-06-18,Active,4.47
45,Vincent,Chung,driver45@example.com,9877123981,Male,Chennai,KP729850,2025-06-18,Active,4.07
46,Brad,Martinez,driver46@example.com,9893972048,Male,Hyderabad,GQ050667,2024-04-12,Active,3.56
47,Renee,Graham,driver47@example.com,9730451945,Male,Delhi,FW853331,2024-08-24,Active,4.0
48,Elizabeth,Valencia,driver48@example.com,9586817341,Male,Delhi,QV147955,2023-08-02,Active,4.51
49,Pamela,Smith,driver49@example.com,9880796403,Male,Bangalore,WW129824,2025-07-10,Active,3.57
50,Amy,Wilson,driver50@example.com,9157585939,Male,Mumbai,QJ922028,2025-08-14,Active,4.55
51,Daisy,Fritz,driver51@example.com,9185362054,Male,Delhi,RW152089,2024-04-28,Active,4.41
52,April,Mercado,driver52@example.com,9493392719,Male,Hyderabad,HK217680,2024-11-01,Inactive,4.2
53,Sherry,French,driver53@example.com,9540638567,Male,Chennai,UW696250,2023-10-04,Active,3.65
54,Virginia,Graham,driver54@example.com,9020715378,Male,Pune,EO073249,2025-10-13,Active,3.68
