rider_id,first_name,last_name,email,phone,gender,age,city,signup_date,preferred_payment
1,Michelle,Barnes,rider1@example.com,9904227113,Male,54,Mumbai,2025-03-04,Wallet
2,Debra,Barr,rider2@example.com,9322889857,Female,25,Pune,2024-01-18,UPI
3,Gloria,Kelly,rider3@example.com,9254596063,Female,24,Mumbai,2024-07-03,Wallet
4,Francisco,Roberts,rider4@example.com,9399129710,Female,31,Pune,2024-05-30,Wallet
5,Charles,Moreno,rider5@example.com,9248171752,Male,20,Delhi,2025-05-07,Cash
6,Megan,Mayer,rider6@example.com,9421495511,Male,33,Bangalore,2025-03-29,Wallet
7,Kenneth,Palmer,rider7@example.com,9274747219,Male,36,Mumbai,2025-08-19,Card
8,Lucas,Miranda,rider8@example.com,9705466927,Female,35,Pune,2024-02-29,Card
9,Stephanie,White,rider9@example.com,9589551687,Female,33,Bangalore,2024-10-09,Cash
10,Charles,Davis,rider10@example.com,9409038021,Female,25,Mumbai,2024-01-21,Wallet
11,George,Goodwin,rider11@example.com,9462961367,Male,50,Hyderabad,2024-05-27,Wallet
12,Nicholas,Stephens,rider12@example.com,9157787112,Female,29,Pune,2024-12-04,Cash
13,Jessica,Brennan,rider13@example.com,9166365155,Female,28,Hyderabad,2024-01-19,Cash
14,Amy,Serrano,rider14@example.com,9973714708,Male,22,Delhi,2024-05-13,Card
15,Rachael,Cohen,rider15@example.com,9272359096,Male,44,Pune,2025-03-11,UPI
16,Christopher,Turner,rider16@example.com,9056730306,Male,29,Delhi,2024-12-31,Wallet
17,Brooke,Jennings,rider17@example.com,9442121461,Male,34,Bangalore,2024-05-28,Card
18,Christina,Barker,rider18@example.com,9476834201,Female,23,Mumbai,2025-01-29,Card
19,Timothy,Davis,rider19@example.com,9654235677,Male,50,Chennai,2025-06-25,UPI
20,Anthony,Carpenter,rider20@example.com,9826596089,Male,22,Delhi,2024-01-06,Card
21,Sherri,Morrow,rider21@example.com,9319925502,Female,45,Chennai,2025-06-23,UPI
22,Frederick,Smith,rider22@example.com,9727516480,Male,31,Chennai,2025-04-12,Card
23,Pamela,Holmes,rider23@example.com,9727910336,Male,22,Mumbai,2024-08-16,UPI
24,Eric,Watson,rider24@example.com,9829635339,Male,50,Bangalore,2024-04-14,UPI
25,Craig,Washington,rider25@example.com,9055044817,Male,58,Mumbai,2025-10-02,Wallet
26,Jamie,Peterson,rider26@example.com,9766558685,Female,36,Pune,2024-08-13,Card
27,James,Bartlett,rider27@example.com,9127652892,Male,39,Delhi,2024-03-03,Card
28,Heidi,Garcia,rider28@example.com,9866464911,Male,22,Chennai,2024-03-06,Cash
29,Jennifer,Moore,rider29@example.com,9110961798,Female,19,Mumbai,2025-07-21,Wallet
30,Jessica,Walker,rider30@example.com,9178904633,Male,47,Mumbai,2025-02-08,Card
31,Joseph,Lopez,rider31@example.com,9786137157,Female,64,Mumbai,2025-06-24,Card
32,Juan,Prince,rider32@example.com,9660538444,Male,56,Delhi,2025-05-03,Wallet
33,John,Austin,rider33@example.com,9463060002,Male,21,Bangalore,2024-12-25,Wallet
34,Brandon,Guerra,rider34@example.com,9589552963,Female,50,Mumbai,2025-10-13,Card
35,Ashley,Fox,rider35@example.com,9863960962,Female,30,Delhi,2024-09-10,Card
36,Mary,Patel,rider36@example.com,9626582631,Female,37,Chennai,2025-01-04,UPI
37,Eric,Arnold,rider37@example.com,9281964825,Male,24,Pune,2025-07-09,Wallet
38,Michael,Avila,rider38@example.com,9311060920,Male,32,Hyderabad,2025-02-18,UPI
39,Ronald,Wilson,rider39@example.com,9981960275,Female,40,Delhi,2025-07-30,Wallet
40,Kelly,Stevens,rider40@example.com,9233438364,Male,31,Hyderabad,2025-01-21,Card
41,Ebony,Jones,rider41@example.com,9041209117,Male,40,Mumbai,2025-04-16,Cash
42,Caroline,Fuentes,rider42@example.com,9911244211,Male,36,Mumbai,2024-02-01,Cash
43,James,Mclean,rider43@example.com,9753617061,Male,46,Delhi,2024-06-02,UPI
44,Anthony,Mendoza,rider44@example.com,9713665722,Female,37,Hyderabad,2024-07-13,UPI
45,George,Collins,rider45@example.com,9402990155,Male,46,Mumbai,2024-02-24,Card
46,Kelly,Cox,rider46@example.com,9799802841,Female,41,Chennai,2024-06-05,UPI
47,Christopher,Montoya,rider47@example.com,9390808823,Male,35,Bangalore,2024-03-09,Cash
48,Megan,Preston,rider48@example.com,9513052312,Female,27,Bangalore,2024-07-05,UPI
49,Kyle,Harper,rider49@example.com,9447315847,Female,58,Mumbai,2025-03-01,UPI
50,Raymond,Gallagher,rider50@example.com,9768634234,Male,25,Hyderabad,2024-09-01,Card
51,Tracy,Peterson,rider51@example.com,9619942376,Female,43,Pune,2024-09-05,Cash
52,Donna,Mckinney,rider52@example.com,9769459196,Female,46,Mumbai,2024-05-20,Wallet
53,Christopher,Johnson,rider53@example.com,9639551720,Female,27,Pune,2024-06-28,UPI
54,Amy,Olsen,rider54@example.com,9849649856,Female,34,Pune,2025-09-18,Wallet
55,Jackson,Walker,rider55@example.com,9012562531,Female,19,Hyderabad,2025-03-09,UPI
56,Nicole,Vincent,rider56@example.com,9355251050,Female,23,Pune,2025-02-11,UPI
57,Mike,Thomas,rider57@example.com,9537953816,Male,22,Chennai,2024-04-25,Card
58,Sean,Perez,rider58@example.com,9493831849,Male,45,Hyderabad,2025-05-03,Card
59,Jose,Martinez,rider59@example.com,9196655330,Male,58,Mumbai,2024-04-20,UPI
60,Steven,Anderson,rider60@example.com,9770461172,Male,22,Chennai,2024-09-11,Card
61,Jeremy,Miller,rider61@example.com,9959639040,Male,35,Delhi,2025-10-24,UPI
62,Joseph,Vazquez,rider62@example.com,9907426088,Male,43,Bangalore,2025-03-04,Cash
63,Bryan,Bowers,rider63@example.com,9050171644,Female,37,Mumbai,2025-01-08,Cash
64,Karen,Jones,rider64@example.com,9556185790,Male,58,Mumbai,2025-04-03,Card
65,Elizabeth,Hampton,rider65@example.com,9647715910,Male,44,Mumbai,2025-07-18,UPI
66,Christopher,Todd,rider66@example.com,9300215632,Female,29,Chennai,2025-06-03,Card
67,Maurice,Williams,rider67@example.com,9135800401,Male,24,Delhi,2024-06-03,UPI
68,Amber,Rodriguez,rider68@example.com,9041459642,Female,20,Hyderabad,2024-01-23,Wallet
69,Tara,Mcguire,rider69@example.com,9297125296,Male,27,Delhi,2024-07-30,UPI
70,Brittany,Palmer,rider70@example.com,9718839774,Other,51,Chennai,2024-06-28,Wallet
71,Angela,Brown,rider71@example.com,9573144158,Female,42,Mumbai,2024-05-21,Card
72,Mary,Wilson,rider72@example.com,9331170303,Male,52,Bangalore,2025-09-22,UPI
73,Loretta,King,rider73@example.com,9763715398,Male,33,Mumbai,2025-08-09,Card
74,Robert,Jones,rider74@example.com,9854728123,Female,19,Hyderabad,2024-07-30,Wallet
75,Amanda,Contreras,rider75@example.com,9567983631,Female,41,Pune,2025-03-14,Card
76,Michelle,Webster,rider76@example.com,9462491271,Female,27,Bangalore,2024-09-22,UPI
77,Thomas,Patton,rider77@example.com,9130724078,Female,55,Mumbai,2025-09-03,UPI
78,Nicole,Mora,rider78@example.com,9754181563,Male,39,Bangalore,2024-11-03,Wallet
79,Thomas,Harris,rider79@example.com,9268685074,Male,43,Pune,2024-06-26,Wallet
80,Christian,Santana,rider80@example.com,9510663436,Male,60,Delhi,2024-06-14,UPI
81,Raven,Lopez,rider81@example.com,9294897861,Female,56,Chennai,2025-01-10,Card
82,Jennifer,Bell,rider82@example.com,9031310094,Female,44,Mumbai,2024-06-25,UPI
83,Wayne,Davis,rider83@example.com,9318143966,Male,46,Hyderabad,2025-01-26,Card
84,Rachel,Singleton,rider84@example.com,9613473235,Male,64,Delhi,2025-08-23,UPI
